Weapon	Skill	Cost	Hands	Weight	Prob (‰)	Dam. (S)	Dam. (L)	Material	Appearance	Tile	Glyph
aklys	club	4 zm	1	15	8	3.5	2	iron	thonged club	Aklys.png	)
arrow2	bow	2 zm	1	1	55†	3.5	3.5	iron		Arrow.png	)
athame	dagger	4 zm	1	10	N/A	2.5	2	iron		Athame.png	)
axe	axe	8 zm	1	60	40	3.5	2.5	iron		Axe.png	)
bardiche	polearms	7 zm	2	120	4	5	7.5	iron	long poleaxe	Bardiche.png	)
battle-axe	axe	40 zm	2	120	10	7	8.5	iron	double-headed axe	Battle-axe.png	)
bec-de-corbin	polearms	8 zm	2	100	4	4.5	3.5	iron	beaked polearm	Bec de corbin.png	)
bill-guisarme	polearms	7 zm	2	120	4	5	5.5	iron	hooked polearm	Bill-guisarme.png	)
boomerang2	boomerang	20 zm	1	5	15	5	5	wood		Boomerang.png	)
bow	bow	60 zm	1	30	24	1.5	1.5	wood		Bow.png	)
broadsword (ninja-to)	broadsword	10 zm	1	70	8	5	4.5	iron		Broadsword.png	)
bullwhip	whip	4 zm	1	20	2	1.5	1	leather		Bullwhip.png	)
club	club	3 zm	1	30	12	3.5	2	wood		Club.png	)
crossbow	crossbow	40 zm	1	50	45†	1.5	1.5	wood		Crossbow.png	)
crossbow bolt2	crossbow	2 zm	1	1	55†	3.5	4.5	iron		Crossbow bolt.png	)
crysknife	knife	100 zm	1	20	N/A	5.5	5.5	mineral		Crysknife.png	)
dagger	dagger	4 zm	1	10	30	2.5	2	iron		Dagger.png	)
dart2	dart	2 zm	1	1	60†	2	1.5	iron		Dart.png	)
dwarvish mattock	pick-axe	50 zm	2	120	13†	6.5	11.5	iron	broad pick	Dwarvish mattock.png	)
dwarvish short sword	short sword	10 zm	1	30	2†	4	4.5	iron	broad short sword	Dwarvish short sword.png	)
dwarvish spear	spear	3 zm	1	35	12†	4.5	4.5	iron	stout spear	Dwarvish spear.png	)
elven arrow2	bow	2 zm	1	1	20†	4	3.5	wood	runed arrow	Elven arrow.png	)
elven bow	bow	60 zm	1	30	12†	1.5	1.5	wood	runed bow	Elven bow.png	)
elven broadsword	broadsword	10 zm	1	70	4†	6	4.5	wood	runed broadsword	Elven broadsword.png	)
elven dagger	dagger	4 zm	1	10	10†	3	2	wood	runed dagger	Elven dagger.png	)
elven short sword	short sword	10 zm	1	30	2†	4.5	4.5	wood	runed short sword	Elven short sword.png	)
elven spear	spear	3 zm	1	30	10†	4	4.5	wood	runed spear	Elven spear.png	)
fauchard	polearms	5 zm	2	60	6	3.5	4.5	iron	pole sickle	Fauchard.png	)
flail (nunchaku)	flail	4 zm	1	15	40	4.5	5	iron		Flail.png	)
flint stone2	sling	1 zm	1	10	gem	3.5	3.5	mineral	gray stone	Gray stone.png	*
glaive (naginata)	polearms	6 zm	2	75	8	3.5	5.5	iron	single-edged polearm	Glaive.png	)
grappling hook	flail	50 zm	1	30	tool	1.5	3.5	iron	iron hook	Grappling hook.png	(
guisarme	polearms	5 zm	2	80	6	5	4.5	iron	pruning hook	Guisarme.png	)
halberd	polearms	10 zm	2	150	8	5.5	7	iron	angled poleaxe	Halberd.png	)
javelin	spear	3 zm	1	20	10	3.5	3.5	iron	throwing spear	Javelin.png	)
katana	long sword	80 zm	1	40	4	5.5	6.5	iron	samurai sword	Katana.png	)
knife (shito)	knife	4 zm	1	5	20	2	1.5	iron		Knife.png	)
lance1	lance	10 zm	1	180	4	3.5	4.5	iron		Lance.png	)
long sword	long sword	15 zm	1	40	50†	4.5	6.5	iron		Long sword.png	)
lucern hammer	polearms	7 zm	2	150	5	5	3.5	iron	pronged polearm	Lucern hammer.png	)
mace	mace	5 zm	1	30	40	4.5	3.5	iron		Mace.png	)
morning star	morning star	10 zm	1	120	12	5	4.5	iron		Morning star.png	)
orcish arrow2	bow	2 zm	1	1	20†	3	3.5	iron	crude arrow	Orcish arrow.png	)
orcish bow	bow	60 zm	1	30	12†	1.5	1.5	wood	crude bow	Orcish bow.png	)
orcish dagger	dagger	4 zm	1	10	12†	2	2	iron	crude dagger	Orcish dagger.png	)
orcish short sword	short sword	10 zm	1	30	3†	3	4.5	iron	crude short sword	Orcish short sword.png	)
orcish spear	spear	3 zm	1	30	13†	3	4.5	iron	crude spear	Orcish spear.png	)
partisan	polearms	10 zm	2	80	5	3.5	4.5	iron	vulgar polearm	Partisan.png	)
pick-axe	pick-axe	50 zm	1	100	tool	3.5	2	iron		Pick-axe.png	(
quarterstaff	quarterstaff	5 zm	2	40	11†	3.5	3.5	wood	staff	Quarterstaff.png	)
ranseur	polearms	6 zm	2	50	5	5	5	iron	hilted polearm	Ranseur.png	)
rubber hose	whip	3 zm	1	20	N/A	2.5	2	plastic		Rubber hose.png	)
runesword	broadsword	300 zm	1	40	N/A	5	4.5	iron	runed broadsword	Runesword.png	)
scalpel	knife	4 zm	1	5	N/A	2	2	metal		Scalpel.png	)
scimitar	scimitar	15 zm	1	40	15†	4.5	4.5	iron	curved sword	Scimitar.png	)
short sword (wakizashi)	short sword	10 zm	1	30	8	3.5	4.5	iron		Short sword.png	)
shuriken2	shuriken	5 zm	1	1	35	4.5	3.5	iron	throwing star	Shuriken.png	)
silver arrow2	bow	5 zm	1	1	12	3.5	3.5	silver		Silver arrow.png	)
silver dagger	dagger	40 zm	1	12	3	2.5	2	silver		Silver dagger.png	)
silver saber	saber	75 zm	1	40	6	4.5	4.5	silver		Silver saber.png	)
silver spear	spear	40 zm	1	36	2	3.5	4.5	silver		Silver spear.png	)
sling	sling	20 zm	1	3	40	1.5	1.5	leather		Sling.png	)
spear	spear	3 zm	1	30	50†	3.5	4.5	iron		Spear.png	)
spetum	polearms	5 zm	2	50	5	4.5	7	iron	forked polearm	Spetum.png	)
stiletto	knife	4 zm	1	5	5	2	1.5	iron		Stiletto.png	)
trident	trident	5 zm	1	25	8	4.5	7.5	iron		Trident.png	)
tsurugi	two-handed sword	500 zm	2	60	N/A	8.5	11.5	metal	long samurai sword	Tsurugi.png	)
two-handed sword	two-handed sword	50 zm	2	150	22	6.5	10.5	iron		Two-handed sword.png	)
unicorn horn	unicorn horn	100 zm	2	20	tool	6.5	6.5	bone		Unicorn horn.png	(
voulge	polearms	5 zm	2	125	4	5	5	iron	pole cleaver	Voulge.png	)
war hammer	hammer	5 zm	1	50	15	3.5	2.5	iron		War hammer.png	)
worm tooth	knife	2 zm	1	20	N/A	1.5	1.5	undefined		Worm tooth.png	)
ya2	bow	4 zm	1	1	15	4	4	metal	bamboo arrow	Bamboo arrow.png	)
yumi	bow	60 zm	1	30	0	1.5	1.5	wood	long bow	Yumi.png	)
